T:3.172869e+00 E:4.592531e+03 P:4.491656e+01 r2:8.550900e-02
T:3.173090e+00 E:4.592522e+03 P:4.491529e+01 r2:8.604888e-02
T:3.173296e+00 E:4.592483e+03 P:4.491448e+01 r2:8.658771e-02
T:3.173441e+00 E:4.592475e+03 P:4.491410e+01 r2:8.712554e-02
T:3.173484e+00 E:4.592487e+03 P:4.491371e+01 r2:8.766240e-02
T:3.173389e+00 E:4.592464e+03 P:4.491455e+01 r2:8.819833e-02
T:3.173129e+00 E:4.592517e+03 P:4.491623e+01 r2:8.873338e-02
T:3.172686e+00 E:4.592521e+03 P:4.491921e+01 r2:8.926756e-02
T:3.172051e+00 E:4.592519e+03 P:4.492314e+01 r2:8.980092e-02
T:3.171221e+00 E:4.592519e+03 P:4.492782e+01 r2:9.033347e-02
T:3.170200e+00 E:4.592482e+03 P:4.493399e+01 r2:9.086522e-02
T:3.168995e+00 E:4.592482e+03 P:4.494078e+01 r2:9.139619e-02
T:3.167614e+00 E:4.592475e+03 P:4.494884e+01 r2:9.192637e-02
T:3.166071e+00 E:4.592477e+03 P:4.495818e+01 r2:9.245577e-02
T:3.164384e+00 E:4.592466e+03 P:4.496899e+01 r2:9.298437e-02
T:3.162576e+00 E:4.592442e+03 P:4.497918e+01 r2:9.351217e-02
T:3.160681e+00 E:4.592466e+03 P:4.498871e+01 r2:9.403913e-02
T:3.158742e+00 E:4.592477e+03 P:4.499844e+01 r2:9.456524e-02
T:3.156813e+00 E:4.592484e+03 P:4.500784e+01 r2:9.509047e-02
T:3.154958e+00 E:4.592483e+03 P:4.501593e+01 r2:9.561480e-02
T:3.153252e+00 E:4.592498e+03 P:4.502263e+01 r2:9.613819e-02
T:3.151775e+00 E:4.592488e+03 P:4.502806e+01 r2:9.666063e-02
T:3.150615e+00 E:4.592533e+03 P:4.503262e+01 r2:9.718210e-02
T:3.149861e+00 E:4.592511e+03 P:4.503383e+01 r2:9.770256e-02
T:3.149598e+00 E:4.592527e+03 P:4.503170e+01 r2:9.822202e-02
T:3.149911e+00 E:4.592553e+03 P:4.502514e+01 r2:9.874047e-02
