Output dataset from model "HMT"
0.5
m h j xKr xKs xto1 yto1 Ki Cai CaNSR CaJSR pc1 po1 po2 pc2 c0 c1 c2 c3 c4 cCa0 cCa1 cCa2 cCa3 cCa4 open yL LTRPNCa HTRPNCa Cass V z_b 
0.872026 0.0234118 0.018758 0.0147943 0.0113887 0.00844521 0.00588714 0.00362098 0.00152572 0.0391623 1.02529e-05 3.92617e-05 6.75829e-06 5.66586e-05 5.6074e-08 6.51599e-06 3.00902e-05 3.23755e-05 7.64289e-05 9.46396e-08 8.51061e-08 1.88085e-07 1.46469e-05 4.72861e-05 8.58316e-05 2.732e-05 9.94441e-05 1.28531e-07 1.59078e-07 1.00539e-08 2.77938e-10 2.87185e-07
0.857864 0.0235215 0.0191868 0.0154168 0.0120976 0.00915196 0.00652083 0.00412388 0.00184703 0.049232 1.17196e-05 4.34313e-05 7.88948e-06 6.13248e-05 6.20692e-08 7.62405e-06 3.34159e-05 3.51028e-05 8.11036e-05 1.02318e-07 9.47552e-08 2.03445e-07 1.62731e-05 5.11935e-05 9.12949e-05 2.95761e-05 0.000103553 1.36272e-07 1.72017e-07 1.13488e-08 3.00226e-10 3.05211e-07
0.843124 0.0235452 0.0195053 0.0159283 0.0127112 0.00978901 0.00711534 0.00461929 0.00219161 0.0603825 1.31844e-05 4.7343e-05 9.06266e-06 6.55285e-05 6.77565e-08 8.77706e-06 3.65963e-05 3.75545e-05 8.51463e-05 1.09233e-07 1.04118e-07 2.17312e-07 1.78316e-05 5.47465e-05 9.60312e-05 3.16201e-05 0.000106926 1.42963e-07 1.8378e-07 1.2647e-08 3.2047e-10 3.20832e-07
0.8279 0.023495 0.0197271 0.0163394 0.0132353 0.0103576 0.00766824 0.00510295 0.00255545 0.0724861 1.46345e-05 5.09823e-05 1.02657e-05 6.92794e-05 7.31143e-08 9.96295e-06 3.96172e-05 3.97338e-05 8.85982e-05 1.15404e-07 1.13148e-07 2.29714e-07 1.93151e-05 5.79529e-05 0.000100081 3.34554e-05 0.000109635 1.48673e-07 1.94395e-07 1.3939e-08 3.38723e-10 3.34187e-07
0.812283 0.023382 0.0198653 0.016662 0.0136782 0.0108617 0.00817972 0.00557231 0.0029347 0.0854095 1.60613e-05 5.4351e-05 1.14879e-05 7.26046e-05 7.81411e-08 1.11709e-05 4.24749e-05 4.16557e-05 9.15138e-05 1.20877e-07 1.21822e-07 2.4074e-07 2.07217e-05 6.08332e-05 0.000103503 3.50938e-05 0.000111757 1.53495e-07 2.03934e-07 1.52169e-08 3.55105e-10 3.45471e-07
0.796358 0.0232162 0.0199324 0.0169074 0.0140488 0.0113065 0.00865156 0.00602608 0.00332585 0.0990226 1.7459e-05 5.74612e-05 1.27202e-05 7.55399e-05 8.28473e-08 1.23916e-05 4.51723e-05 4.33408e-05 9.39521e-05 1.2571e-07 1.30134e-07 2.50503e-07 2.20524e-05 6.34138e-05 0.000106363 3.65509e-05 0.000113369 1.57526e-07 2.12483e-07 1.64747e-08 3.69769e-10 3.54901e-07
0.780202 0.0230064 0.0199392 0.0170864 0.0143557 0.0116981 0.00908635 0.00646378 0.00372575 0.113204 1.88241e-05 6.03297e-05 1.39547e-05 7.81239e-05 8.72499e-08 1.36168e-05 4.77161e-05 4.48121e-05 9.59707e-05 1.29968e-07 1.38086e-07 2.59124e-07 2.331e-05 6.57233e-05 0.000108726 3.78436e-05 0.000114542 1.60863e-07 2.20138e-07 1.77078e-08 3.82875e-10 3.62694e-07
0.763884 0.0227602 0.0198951 0.0172084 0.014607 0.0120421 0.00948701 0.00688541 0.00413164 0.127842 2.01542e-05 6.29757e-05 1.51848e-05 8.03945e-05 9.13683e-08 1.48398e-05 5.01142e-05 4.60928e-05 9.76228e-05 1.33711e-07 1.45686e-07 2.66725e-07 2.44982e-05 6.77894e-05 0.000110654 3.89888e-05 0.000115337 1.63593e-07 2.26988e-07 1.89123e-08 3.94582e-10 3.69052e-07
0.747467 0.0224836 0.0198082 0.0172816 0.0148098 0.0123436 0.00985635 0.00729119 0.00454114 0.14284 2.14478e-05 6.54171e-05 1.64052e-05 8.23854e-05 9.52215e-08 1.60549e-05 5.23749e-05 4.72032e-05 9.89548e-05 1.36996e-07 1.52943e-07 2.73412e-07 2.56205e-05 6.96369e-05 0.000112201 4.00013e-05 0.000115809 1.65791e-07 2.33116e-07 2.00854e-08 4.05029e-10 3.74152e-07
0.731007 0.022182 0.019685 0.0173128 0.0149702 0.0126074 0.010197 0.00768146 0.00495222 0.15811 2.27041e-05 6.76709e-05 1.76113e-05 8.41273e-05 9.88276e-08 1.72573e-05 5.45062e-05 4.81624e-05 0.000100007 1.39873e-07 1.59868e-07 2.79282e-07 2.66807e-05 7.1288e-05 0.000113413 4.0895e-05 0.000116003 1.67527e-07 2.38594e-07 2.12249e-08 4.1434e-10 3.7815e-07
0.714553 0.02186 0.0195314 0.0173079 0.0150936 0.0128374 0.0105113 0.00805663 0.00536313 0.173576 2.39225e-05 6.97524e-05 1.87995e-05 8.56466e-05 1.02203e-07 1.84431e-05 5.65153e-05 4.89865e-05 0.000100815 1.42383e-07 1.66469e-07 2.8442e-07 2.7682e-05 7.27622e-05 0.000114333 4.16817e-05 0.000115957 1.68855e-07 2.43485e-07 2.23292e-08 4.22627e-10 3.81179e-07
0.698149 0.0215212 0.0193519 0.0172719 0.0151843 0.0130371 0.0108014 0.00841706 0.00577243 0.189173 2.51028e-05 7.16746e-05 1.99669e-05 8.69657e-05 1.05362e-07 1.96094e-05 5.8409e-05 4.96895e-05 0.000101406 1.44564e-07 1.7276e-07 2.88897e-07 2.86275e-05 7.4076e-05 0.000114994 4.23716e-05 0.000115704 1.69825e-07 2.47845e-07 2.33975e-08 4.29982e-10 3.83353e-07
0.681833 0.0211689 0.0191505 0.0172088 0.0152461 0.0132095 0.0110689 0.00876313 0.00617885 0.204841 2.62448e-05 7.34493e-05 2.11111e-05 8.81044e-05 1.08317e-07 2.07535e-05 6.01933e-05 5.02836e-05 0.000101807 1.46448e-07 1.78749e-07 2.92776e-07 2.95199e-05 7.52439e-05 0.000115426 4.29736e-05 0.000115272 1.70477e-07 2.5172e-07 2.44289e-08 4.36489e-10 3.84769e-07
0.66564 0.0208058 0.0189307 0.0171223 0.0152824 0.0133573 0.0113157 0.00909521 0.00658133 0.220531 2.73487e-05 7.5087e-05 2.22301e-05 8.90797e-05 1.11082e-07 2.18734e-05 6.18736e-05 5.07794e-05 0.000102038 1.48063e-07 1.84445e-07 2.96113e-07 3.03618e-05 7.62785e-05 0.000115655 4.34956e-05 0.000114684 1.70849e-07 2.55152e-07 2.54231e-08 4.42221e-10 3.85513e-07
0.6496 0.0204343 0.0186954 0.0170153 0.0152959 0.0134825 0.0115429 0.00941365 0.00697898 0.236197 2.84145e-05 7.65967e-05 2.33227e-05 8.99066e-05 1.13665e-07 2.29676e-05 6.34551e-05 5.1186e-05 0.000102119 1.49433e-07 1.8986e-07 2.98955e-07 3.11556e-05 7.7191e-05 0.000115702 4.39445e-05 0.00011396 1.70969e-07 2.58178e-07 2.63801e-08 4.4724e-10 3.85657e-07
0.633739 0.0200563 0.0184469 0.0168906 0.0152892 0.0135873 0.011752 0.00971878 0.00737107 0.251801 2.94427e-05 7.79867e-05 2.43876e-05 9.05978e-05 1.16077e-07 2.40349e-05 6.49425e-05 5.15114e-05 0.000102065 1.50579e-07 1.95002e-07 3.01345e-07 3.19034e-05 7.79913e-05 0.000115588 4.43263e-05 0.000113118 1.70865e-07 2.60831e-07 2.73003e-08 4.51604e-10 3.85263e-07
0.618081 0.0196737 0.0181876 0.0167505 0.0152643 0.0136734 0.011944 0.010011 0.00775695 0.267307 3.04335e-05 7.92644e-05 2.54241e-05 9.11653e-05 1.18327e-07 2.50743e-05 6.63402e-05 5.17629e-05 0.000101891 1.51521e-07 1.99881e-07 3.0332e-07 3.26074e-05 7.86882e-05 0.000115329 4.46465e-05 0.000112172 1.70562e-07 2.63139e-07 2.8184e-08 4.55365e-10 3.8439e-07
